[22/02/2007 08:40:51] System.Web.Services.Protocols.SoapException: Server was unable to process request. ---> System.Exception: error executing sql statement: Invalid column name 'REFERER'.<br /><br />SELECT HIT_LOG_ID, VISITOR_ID, PAGE_INDEX, QUERY_STRING_DATE, FORM_DATA, REFERER FROM WEBSITE_HIT_LOG WHERE HIT_LOG_ID=(SELECT MAX(HIT_LOG_ID) FROM WEBSITE_HIT_LOG)<br />   at SportServices.Common.TryExecuteReader(SqlCommand command, SqlTransaction transaction, ConnectionLocker locker) in c:\inetpub\wwwroot\ISF\SportServices\Common.cs:line 183<br />   at SportServices.Common.TryExecuteReader(SqlCommand command, ConnectionLocker locker) in c:\inetpub\wwwroot\ISF\SportServices\Common.cs:line 209<br />   at SportServices.WebsiteService.Page_Hit(WebSitePage page, String strIP, String strQueryString, String strForm, String strUserAgent, String strReferer) in c:\inetpub\wwwroot\ISF\SportServices\WebsiteService.asmx.cs:line 1572<br />   --- End of inner exception stack trace ---
[22/02/2007 08:40:59] System.Web.Services.Protocols.SoapException: Server was unable to process request. ---> System.Exception: error executing sql statement: Invalid column name 'REFERER'.<br /><br />SELECT HIT_LOG_ID, VISITOR_ID, PAGE_INDEX, QUERY_STRING_DATE, FORM_DATA, REFERER FROM WEBSITE_HIT_LOG WHERE HIT_LOG_ID=(SELECT MAX(HIT_LOG_ID) FROM WEBSITE_HIT_LOG)<br />   at SportServices.Common.TryExecuteReader(SqlCommand command, SqlTransaction transaction, ConnectionLocker locker) in c:\inetpub\wwwroot\ISF\SportServices\Common.cs:line 183<br />   at SportServices.Common.TryExecuteReader(SqlCommand command, ConnectionLocker locker) in c:\inetpub\wwwroot\ISF\SportServices\Common.cs:line 209<br />   at SportServices.WebsiteService.Page_Hit(WebSitePage page, String strIP, String strQueryString, String strForm, String strUserAgent, String strReferer) in c:\inetpub\wwwroot\ISF\SportServices\WebsiteService.asmx.cs:line 1572<br />   --- End of inner exception stack trace ---
[22/02/2007 08:41:08] System.Web.Services.Protocols.SoapException: Server was unable to process request. ---> System.Exception: error executing sql statement: Invalid column name 'REFERER'.<br /><br />SELECT HIT_LOG_ID, VISITOR_ID, PAGE_INDEX, QUERY_STRING_DATE, FORM_DATA, REFERER FROM WEBSITE_HIT_LOG WHERE HIT_LOG_ID=(SELECT MAX(HIT_LOG_ID) FROM WEBSITE_HIT_LOG)<br />   at SportServices.Common.TryExecuteReader(SqlCommand command, SqlTransaction transaction, ConnectionLocker locker) in c:\inetpub\wwwroot\ISF\SportServices\Common.cs:line 183<br />   at SportServices.Common.TryExecuteReader(SqlCommand command, ConnectionLocker locker) in c:\inetpub\wwwroot\ISF\SportServices\Common.cs:line 209<br />   at SportServices.WebsiteService.Page_Hit(WebSitePage page, String strIP, String strQueryString, String strForm, String strUserAgent, String strReferer) in c:\inetpub\wwwroot\ISF\SportServices\WebsiteService.asmx.cs:line 1572<br />   --- End of inner exception stack trace ---
[22/02/2007 08:41:14] System.Web.Services.Protocols.SoapException: Server was unable to process request. ---> System.Exception: error executing sql statement: Invalid column name 'REFERER'.<br /><br />SELECT HIT_LOG_ID, VISITOR_ID, PAGE_INDEX, QUERY_STRING_DATE, FORM_DATA, REFERER FROM WEBSITE_HIT_LOG WHERE HIT_LOG_ID=(SELECT MAX(HIT_LOG_ID) FROM WEBSITE_HIT_LOG)<br />   at SportServices.Common.TryExecuteReader(SqlCommand command, SqlTransaction transaction, ConnectionLocker locker) in c:\inetpub\wwwroot\ISF\SportServices\Common.cs:line 183<br />   at SportServices.Common.TryExecuteReader(SqlCommand command, ConnectionLocker locker) in c:\inetpub\wwwroot\ISF\SportServices\Common.cs:line 209<br />   at SportServices.WebsiteService.Page_Hit(WebSitePage page, String strIP, String strQueryString, String strForm, String strUserAgent, String strReferer) in c:\inetpub\wwwroot\ISF\SportServices\WebsiteService.asmx.cs:line 1572<br />   --- End of inner exception stack trace ---
[22/02/2007 08:42:08] System.Web.Services.Protocols.SoapException: Server was unable to process request. ---> System.Exception: error executing sql statement: Invalid column name 'REFERER'.<br /><br />SELECT HIT_LOG_ID, VISITOR_ID, PAGE_INDEX, QUERY_STRING_DATE, FORM_DATA, REFERER FROM WEBSITE_HIT_LOG WHERE HIT_LOG_ID=(SELECT MAX(HIT_LOG_ID) FROM WEBSITE_HIT_LOG)<br />   at SportServices.Common.TryExecuteReader(SqlCommand command, SqlTransaction transaction, ConnectionLocker locker) in c:\inetpub\wwwroot\ISF\SportServices\Common.cs:line 183<br />   at SportServices.Common.TryExecuteReader(SqlCommand command, ConnectionLocker locker) in c:\inetpub\wwwroot\ISF\SportServices\Common.cs:line 209<br />   at SportServices.WebsiteService.Page_Hit(WebSitePage page, String strIP, String strQueryString, String strForm, String strUserAgent, String strReferer) in c:\inetpub\wwwroot\ISF\SportServices\WebsiteService.asmx.cs:line 1572<br />   --- End of inner exception stack trace ---
[22/02/2007 08:42:22] System.Web.Services.Protocols.SoapException: Server was unable to process request. ---> System.Exception: error executing sql statement: Invalid column name 'REFERER'.<br /><br />SELECT HIT_LOG_ID, VISITOR_ID, PAGE_INDEX, QUERY_STRING_DATE, FORM_DATA, REFERER FROM WEBSITE_HIT_LOG WHERE HIT_LOG_ID=(SELECT MAX(HIT_LOG_ID) FROM WEBSITE_HIT_LOG)<br />   at SportServices.Common.TryExecuteReader(SqlCommand command, SqlTransaction transaction, ConnectionLocker locker) in c:\inetpub\wwwroot\ISF\SportServices\Common.cs:line 183<br />   at SportServices.Common.TryExecuteReader(SqlCommand command, ConnectionLocker locker) in c:\inetpub\wwwroot\ISF\SportServices\Common.cs:line 209<br />   at SportServices.WebsiteService.Page_Hit(WebSitePage page, String strIP, String strQueryString, String strForm, String strUserAgent, String strReferer) in c:\inetpub\wwwroot\ISF\SportServices\WebsiteService.asmx.cs:line 1572<br />   --- End of inner exception stack trace ---
[22/02/2007 08:42:47] System.Web.Services.Protocols.SoapException: Server was unable to process request. ---> System.Exception: error executing sql statement: Invalid column name 'REFERER'.<br /><br />SELECT HIT_LOG_ID, VISITOR_ID, PAGE_INDEX, QUERY_STRING_DATE, FORM_DATA, REFERER FROM WEBSITE_HIT_LOG WHERE HIT_LOG_ID=(SELECT MAX(HIT_LOG_ID) FROM WEBSITE_HIT_LOG)<br />   at SportServices.Common.TryExecuteReader(SqlCommand command, SqlTransaction transaction, ConnectionLocker locker) in c:\inetpub\wwwroot\ISF\SportServices\Common.cs:line 183<br />   at SportServices.Common.TryExecuteReader(SqlCommand command, ConnectionLocker locker) in c:\inetpub\wwwroot\ISF\SportServices\Common.cs:line 209<br />   at SportServices.WebsiteService.Page_Hit(WebSitePage page, String strIP, String strQueryString, String strForm, String strUserAgent, String strReferer) in c:\inetpub\wwwroot\ISF\SportServices\WebsiteService.asmx.cs:line 1572<br />   --- End of inner exception stack trace ---
[22/02/2007 08:42:57] System.Web.Services.Protocols.SoapException: Server was unable to process request. ---> System.Exception: error executing sql statement: Invalid column name 'REFERER'.<br /><br />SELECT HIT_LOG_ID, VISITOR_ID, PAGE_INDEX, QUERY_STRING_DATE, FORM_DATA, REFERER FROM WEBSITE_HIT_LOG WHERE HIT_LOG_ID=(SELECT MAX(HIT_LOG_ID) FROM WEBSITE_HIT_LOG)<br />   at SportServices.Common.TryExecuteReader(SqlCommand command, SqlTransaction transaction, ConnectionLocker locker) in c:\inetpub\wwwroot\ISF\SportServices\Common.cs:line 183<br />   at SportServices.Common.TryExecuteReader(SqlCommand command, ConnectionLocker locker) in c:\inetpub\wwwroot\ISF\SportServices\Common.cs:line 209<br />   at SportServices.WebsiteService.Page_Hit(WebSitePage page, String strIP, String strQueryString, String strForm, String strUserAgent, String strReferer) in c:\inetpub\wwwroot\ISF\SportServices\WebsiteService.asmx.cs:line 1572<br />   --- End of inner exception stack trace ---
[22/02/2007 10:02:29] System.Web.Services.Protocols.SoapException: Server was unable to process request. ---> System.Exception: error executing sql statement: Invalid column name 'REFERER'.<br /><br />SELECT HIT_LOG_ID, VISITOR_ID, PAGE_INDEX, QUERY_STRING_DATE, FORM_DATA, REFERER FROM WEBSITE_HIT_LOG WHERE HIT_LOG_ID=(SELECT MAX(HIT_LOG_ID) FROM WEBSITE_HIT_LOG)<br />   at SportServices.Common.TryExecuteReader(SqlCommand command, SqlTransaction transaction, ConnectionLocker locker) in c:\inetpub\wwwroot\ISF\SportServices\Common.cs:line 183<br />   at SportServices.Common.TryExecuteReader(SqlCommand command, ConnectionLocker locker) in c:\inetpub\wwwroot\ISF\SportServices\Common.cs:line 209<br />   at SportServices.WebsiteService.Page_Hit(WebSitePage page, String strIP, String strQueryString, String strForm, String strUserAgent, String strReferer) in c:\inetpub\wwwroot\ISF\SportServices\WebsiteService.asmx.cs:line 1572<br />   --- End of inner exception stack trace ---
[22/02/2007 10:02:38] System.Web.Services.Protocols.SoapException: Server was unable to process request. ---> System.Exception: error executing sql statement: Invalid column name 'REFERER'.<br /><br />SELECT HIT_LOG_ID, VISITOR_ID, PAGE_INDEX, QUERY_STRING_DATE, FORM_DATA, REFERER FROM WEBSITE_HIT_LOG WHERE HIT_LOG_ID=(SELECT MAX(HIT_LOG_ID) FROM WEBSITE_HIT_LOG)<br />   at SportServices.Common.TryExecuteReader(SqlCommand command, SqlTransaction transaction, ConnectionLocker locker) in c:\inetpub\wwwroot\ISF\SportServices\Common.cs:line 183<br />   at SportServices.Common.TryExecuteReader(SqlCommand command, ConnectionLocker locker) in c:\inetpub\wwwroot\ISF\SportServices\Common.cs:line 209<br />   at SportServices.WebsiteService.Page_Hit(WebSitePage page, String strIP, String strQueryString, String strForm, String strUserAgent, String strReferer) in c:\inetpub\wwwroot\ISF\SportServices\WebsiteService.asmx.cs:line 1572<br />   --- End of inner exception stack trace ---
